term,pos,notes,is_case_sensitive,translation_ja,notes_ja
A Tale of Two Brothers,noun,,false,二人の兄弟の物語,メインラインキャンペーンの一つ。tb
AI,noun,,false,AI,人工知能（Artificial Intelligence）のことだが、Wesnoth の用語としては、ゲームの思考ルーチンくらいの意味。
AI controller,noun,,false,AIコントローラー,コントローラーも参照。
AI formula,,,false,AI フォーミュラ,フォーミュラも参照。
AMLA,noun,,false,AMLA,After Maximum Level Advancementの略。最高位後昇進。
Abhai,noun,,false,Abhai,"異国の王の幽霊。
「北部の再興」"
Academy,noun,,false,アカデミー,Alduin島の魔術師アカデミーのことを指す場合が多い。
Action,,,false,アクション,"(1) アクション。動作。行動。
(2) トップパネルに表示されているアクションボタン。"
Actions button,noun,,false,アクションボタン,トップパネルに「行動」と表示されていボタン。
Add-ons,noun,,false,アドオン,
Aethen River,noun,,false,Aethen 川,Wesnothの南の国境近くにある川。
Aethenwood,noun,,false,Aethen の森,"エルフの住む南西の森、またはそこにある都市。
Aethenwoodの森と訳してある箇所も多いけど、見つけたら直してね。"
After Maximum Level Advancement,noun,,false,最高位後昇進,AMLAも参照。
Aiglondur,noun,,false,Aiglondur,"ドワーフ。Hamel 卿の大甥。
「Thursaganの槌」"
Aimucasur,noun,,false,Aimucasur,"Alduin島の魔術師アカデミーの初代校長。
その後、失踪し、「王位継承者」の時代にはリッチになっていた。"
Alanin,noun,,false,Alanin,"Haldric II世の腹心。
「炎の笏」"
Aldar,noun,,false,Aldar,"人間。
「Wesmere の伝説」"
Aldril,noun,,false,Aldril,真珠の入り江の面する都市。
Ambush,noun,,false,伏兵,能力の1つ。森の中では敵に見つからない。
An Orcish Incursion,noun,,false,オークの襲撃,"メインラインキャンペーンの一つ。
aoi"
Angarthing,noun,,false,Angarthing,"ドワーフ。伝承家。
「Thursaganの槌」"
Annuvin,noun,,false,Annuvin,地方の名前。かつてはDallbenとDelwynという人間の村があった。
Arcane,noun,,false,秘術,ダメージ型の一つ。
Areth's Pass,noun,,false,Arethの道,"恐怖の沼地を通過することができる数少ない道のなかで、最大のもの。
わざわざ'sで表現されていることや、好む者の少ない危険な地域ということから固有名詞化していないであろうと考え、「の」を残した。"
Arkan-thoria,noun,,false,Arkan-thoria,"Vrug湖から伸びる川。
人間はLonglierと呼ぶ。"
Arvith,noun,,false,Arvith,"兄さん。騎士。
「２人の兄弟の物語」
Arne"
Asheviere,noun,,false,Asheviere,"「王位継承者」の登場人物。
悪役。
闇の女王とか、簒奪の女王とか、ひどい言われようだ。"
Aspirant,noun,,false,志願者,"""Winds of Fate"" で使用されている。
""Wing"" を指揮し、""contention"" に参加するのに十分な資格を持つドレーク。
この資格は一連の試練をクリアすることで得られる。

他の訳語の候補としては、「熱望者」「野心家」「候補生」「大志持つ者」「大望抱きし者」「翼隊長」など。"
Background,noun,,false,サブ,"エディタのパレットのうち、現在使用されていない方。サブとメインのパレットは切り替えることができる。
なお、当然エディタが関係しない場合もあるので、そのつど訳してください。"
Backstab,noun,,false,奇襲,特殊武器の一つ。
Baglur,noun,,false,Baglur,"ドワーフ。
「炎の笏」"
Baldras,noun,,false,Baldras,"Dallben の村長
「自由‎」"
Barag Gor,noun,,false,Barag Gor,オーク連合の首都。
Baran,noun,,false,Baran,"弟。魔術師。
「２人の兄弟の物語」
Bjarn"
Barren Plains,noun,,false,不毛の平野,極北の地名。
Bat,noun,,false,コウモリ,種族の一つ。
Battle for Wesnoth,noun,,false,Battle for Wesnoth,王位継承者の24章を指す場合は「Wesnoth への戦い」
Bay of Pearls,noun,,false,真珠の入り江,"地名。
北のElensefar半島と南西のAlduin島によって大洋から分離されています。
緑の島からの人間の避難民が1YWにたどり着いた場所です。"
Berserk,noun,,false,狂戦,特殊武器の一つ。
Bitok,noun,,false,Bitok,極北の都市
Bitter Swamp,noun,,false,苦痛の湿地,地名
Black Forest,noun,,false,黒の森,「南の森」のさらに南にある森。
Black Marshes,noun,,false,黒い湿地帯,
Black River,noun,,false,黒の川,「南の森」と「黒の森」の間を流れる川。
Black-Eye Karun,noun,,false,黒眼のKarun,"オークの族長の1人。
オーク連合を組織し、Great Hordeのおきてを定めた。
Kapou'eの父。"
Blackfire,noun,"December, name of month",false,黒炎,１２月。黒炎の月
Blackwater,noun,,false,黒水港,
Blackwater Port,noun,,false,黒水港,真珠の入り江の南にある都市。
Blade,noun,,false,斬撃,ダメージ型の一つ。
Bleeding Moon,noun,"February, name of month",false,血月,２月。血月の月
Block,noun,,false,ブロック,無視リストに追加すること。最近投入された用語なので、無視リスト自体も「ブロックリスト」とかにかわるかも？
Bonus,noun,,false,ボーナス,臨時収入。ゴールドか経験値を得ること。
Book of Crelanu,noun,,false,Crelanuの本,"Crelanuの魔法書とも。
やばい魔法書。"
Book of Fire and Darkness,noun,,false,炎と暗黒の書,炎のルビーについて書いてある書物。
BorStep,noun,,false,BorStep,極北の都市
Brena,noun,,false,Brena,"大槌兵
「２人の兄弟の物語」"
Bridge,noun,,false,橋,地形の一つ。基本的に複合地形となる。
Brightleaf Wood,noun,,false,輝く葉の森,Ka'lianの近くにある。
Brown Hills,noun,,false,茶色丘陵,"地名。
グリフォンの山を囲む荒野で、人口が少なく、時として非常に危険な地域です。"
Brush,noun,,false,ブラシ,エディタで地形を描く際のブラシ
Burin the Lost,noun,,false,はぐれ者 Burin,"ドワーフ。
「Wesnothの起源」"
Cache,noun,,false,キャッシュ,使用頻度の高いデータをメインメモリに蓄えておくこと。
Camerin,noun,,false,Camerin,"魔術師。
「北部の再興」"
Campaigns,noun,,false,キャンペーン,
Carcyn,noun,,false,Carcyn,"都市名。
灰色森と大いなる川の間に位置する都市。"
Cavalier,noun,,false,精鋭竜騎士,
Cave,noun,,false,洞窟,基本地形の一つ。
Chantal,noun,,false,Chantal,"Kalenzの孫。
「Delfadorの回顧録」
「王位継承者」"
Chaotic,noun,,false,混沌,アラインメントの一つ。
Charge,noun,,false,突撃,特殊武器の一つ。
Chasm,noun,,false,裂け目,地形の一つ。
Chat message,noun,,false,チャットメッセージ,
Clan,noun,,false,クラン,Wesnoth東部に住む騎乗の氏族を指す。「氏族」とか日本語に直すと、何を指すか分からなくなるので、「クラン」と訳す。
Clansmen,noun,,false,クランの一員たち,クランのメンバー。
Clearwater Port,noun,,false,透水港,緑の島で二番目に大きな街。
Cleodil,noun,,false,Cleodil,"Kalenzの彼女、のちに妻。
Crelanuの本の管理をしていた。
「Wesmere の伝説」"
Cloaked Figure,noun,,false,覆面の人影,「燃える太陽の下で」
Coastal Reef,noun,,false,岩礁,基本地形の１つ。
Command,noun,,false,コマンド,ゲーム中にコマンド欄で実行できるコマンド。もちろん、他の意味で使われていることも多いので注意。
Commander Aethyr,noun,,false,Aethyr 司令,「Wesnothの起源」
Configure,verb,,false,設定する,
Core,noun,,false,コア,"アドオンの種類の一つ。ゲームの中核機能を示している？
例えばデフォルトの他にフォールバックのコアが存在しており、コアをこれに切り替えるとアドオンが読み込まれなくなる。
コアのアドオンも作れるらしい。"
Cores,noun,,false,コア,"アドオンの種類の一つ。ゲームの中核機能を示している？
例えばデフォルトの他にフォールバックのコアが存在しており、コアをこれに切り替えるとアドオンが読み込まれなくなる。
コアのアドオンも作れるらしい。"
Crelanu,noun,,false,Crelanu,"魔術師。
Haldric I世に仕えていたが、後に対立、追放された。
「Wesmere の伝説」
「古代の秘密」"
Crelanu’s philter,noun,,false,Crelanuの秘薬,やばい薬。
Custom,,,false,カスタム,改造とか特別注文品とかいう意味。
Custom Command,noun,,false,カスタムコマンド,customコマンドで指定したコマンドを、カスタムコマンドホットキーから一度に起動できる機能。
Cylanna,noun,,false,Cylanna,"巫女。
「死の海」"
Cynsaun,noun,,false,Cynsaun,戦士の女王（Warrior-Queen）。いくつかのマルチプレイヤーマップの背景設定に登場する。
Dacyn,noun,,false,Dacyn,「東部侵略」
Dallben,noun,,false,Dallben,人間の村の名前。
Dancer’s Green,noun,,false,踊り子の草原,Ka'lianの北西にある。
Dan’Tonk,noun,,false,Dan’Tonk,Wesnoth最大の都市。
Dark Adept,noun,,false,暗黒僧,女性の場合は「暗黒尼僧」。
Dark Lady,noun,,false,闇の淑女,Yechnagothを参照。 utbs
Darken Volk,noun,,false,Darken Volk,"Malin Kesharの師匠。
「闇へ堕ちて」"
Dead Water,noun,,false,死の海,"メインラインキャンペーンの一つ。
dw"
Debug,noun,,false,デバッグ,バグを見つけ、取り除くこと。
Debug Command,noun,,false,デバッグコマンド,デバッグ用のコマンド
Debug Mode,noun,,false,デバッグモード,開発者向けの機能
Deeproot,noun,"April, name of month",false,深根,４月。深根の月
Default,noun,,false,デフォルト,既定値
Default Era,noun,,false,標準の時代,6つの党派とカリフェイトの有無で構成される。
Defense Cap,noun,,false,上限回避率,一部のユニットには特定の基本地形において上限回避率が指定されている。複合地形にいる時、片方の基本地形に上限回避率が設定されていれば、もう片方の基本地形での回避率がそれより高くとも上限回避率が回避率の値となる。
Dela Keshar,noun,,false,Dela Keshar,"Malin Kesharの姉。
「闇へ堕ちて」"
Delfador,noun,,false,Delfador,"「偉大なる魔術師」と呼ばれる。

「Delfadorの回顧録」
「王位継承者」
「チュートリアル」"
Delfador the Great,,,false,偉大なる Delfador,Delfadorの通り名。
Delfador's Memoirs,noun,,false,Delfadorの回顧録,メインラインキャンペーンの一つ。dm
Delwyn,noun,,false,Delwyn,人間の村の名前。
Deoran,noun,,false,Deoran,"Haldielの孫。
「南部防衛隊」の主役。"
Descent into Darkness,noun,,false,闇へ堕ちて,"メインラインキャンペーンの一つ。did。
「暗黒への堕落」と訳していた時期もある"
